,Job Title,Company,Location,Status,Job Link,Date Posted,Date Text
25,Data Scientist,Petroplan,"Arlington, VA",Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-at-petroplan-3947043799?position=35&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=HvvDBzoOiZGlZwtnbnF79w%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-10,1 week ago
26,Junior Data Scientist,Team Remotely Inc,"Bridgeport, CT",Not specified,https://www.linkedin.com/jobs/view/junior-data-scientist-at-team-remotely-inc-3953474957?position=36&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=NrV1pEiOaS3sY8j8rb5hKg%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-18,1 day ago
27,Data Scientist,"Global Agora, LLC.",United States,Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-at-global-agora-llc-3952716632?position=38&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=qI8eVGsvyMlOWUpcKhqw7Q%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-18,1 day ago
28,Data Scientist,Dun & Bradstreet,"Jacksonville, FL",Actively Hiring +7 benefits,https://www.linkedin.com/jobs/view/data-scientist-at-dun-bradstreet-3942877747?position=39&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=8eZ9eQZHxEDbFdMRdHN2Ww%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-05,2 weeks ago
29,Data Scientist,Wipro,"Dallas, TX",Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-at-wipro-3948534927?position=40&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=Y0ZETQSh8xyUo6YvZOba%2FA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-13,6 days ago
30,Product Data Scientist,Pave,San Francisco Bay Area,Actively Hiring,https://www.linkedin.com/jobs/view/product-data-scientist-at-pave-3953813041?position=41&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=0kEDaV2awbNmikBBmjlk4g%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-18,1 day ago
31,Data Scientist,Almanax,"New York, NY",Not specified,https://www.linkedin.com/jobs/view/data-scientist-at-almanax-3947174597?position=42&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=OtYkgkvFTTu4KJ4K4SY0Dw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-11,1 week ago
32,Junior Machine Learning Engineer,Team Remotely Inc,"Wilmington, DE",Not specified,https://www.linkedin.com/jobs/view/junior-machine-learning-engineer-at-team-remotely-inc-3953475842?position=44&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=CmFbISv7r4hJzKMEMISrIw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-18,1 day ago
33,Product Data Scientist,Pave,New York City Metropolitan Area,Actively Hiring,https://www.linkedin.com/jobs/view/product-data-scientist-at-pave-3953811063?position=46&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=Vsjit3Xwb01LFHwogTbUTQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-18,1 day ago
34,Data Scientist,K2 Integrity,"Washington, DC",Not specified,https://www.linkedin.com/jobs/view/data-scientist-at-k2-integrity-3952457606?position=47&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=%2F4hrCo1PG2XUV3NK7u3O5w%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-17,2 days ago
35,Applied AI/ML Data Scientist,Cerberus Capital Management,United States,Actively Hiring +11 benefits,https://www.linkedin.com/jobs/view/applied-ai-ml-data-scientist-at-cerberus-capital-management-3948028242?position=48&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=T3LqF1DCw5qXTRU1he4ARA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-11,1 week ago
36,Data Scientist,Curate Partners,United States,Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-at-curate-partners-3950507075?position=49&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=cPlm%2Fq5Dz0LQ0%2BGpC%2FuBZg%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-18,1 day ago
37,Data Scientist,EverBright,"Juno Beach, FL",Medical insurance +9 benefits,https://www.linkedin.com/jobs/view/data-scientist-at-everbright-3948699460?position=50&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=diAEB1%2FhBt716ui6cu3NaA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-12,1 week ago
38,Data Scientist,Elder Research,"Washington, DC",Be an early applicant,https://www.linkedin.com/jobs/view/data-scientist-at-elder-research-3945732232?position=51&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=dge7FXwo8u7IBBKgAokGOw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-05,2 weeks ago
39,Data Scientist,QuantumBricks,United States,Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-at-quantumbricks-3944754459?position=52&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=3OzLEt%2FzkCCK58pzi0XF1A%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-08,1 week ago
40,Data Scientist (5209),MetroStar,United States,Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-5209-at-metrostar-3946499799?position=54&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=FXkP5gDJPyjtu7OiUE6r3g%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-11,1 week ago
41,Data Scientist (AI/ML),Syntricate Technologies,"Irving, TX",Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=55&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=GRGeBGdxP%2BjVpeSk8Bj7Rw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-03-20,3 months ago
42,Data Scientist,Microsoft,"Redmond, WA",Actively Hiring,https://www.linkedin.com/jobs/view/data-scientist-at-microsoft-3939029021?position=56&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=d4xF9PH%2FdWgsAqzVBU3Y6w%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-04,2 weeks ago
43,Data Scientist,MhyMatch,San Francisco Bay Area,Not specified,https://www.linkedin.com/jobs/view/data-scientist-at-mhymatch-3943402495?position=57&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=c1yhU4lJRhTPBWMZq%2BCkfw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-06,1 week ago
44,Data Scientist,Trispoke Managed Services Pvt. Ltd.,United States,Not specified,https://www.linkedin.com/jobs/view/data-scientist-at-trispoke-managed-services-pvt-ltd-3947597395?position=59&pageNum=0&refId=HWTQJGvDK760w6217JtxrQ%3D%3D&trackingId=lfsPQwCB98egiTRt4x36sw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-12,1 week ago
