,Job Title,Company,Location,Status,Date Posted,Date Text,Job Link
63,Machine Learning Engineer,QuantumBricks,United States,Actively Hiring,2024-06-08,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
64,AI/ML Engineer,Pixona,"San Francisco, CA",Not specified,2024-06-18,1 day ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
65,Data Scientist,Trispoke Managed Services Pvt. Ltd.,United States,Not specified,2024-06-12,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
66,Data Scientist,Stoneridge,Detroit Metropolitan Area,Actively Hiring,2024-06-14,5 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
67,Data Scientist - People Science,Roblox,"San Mateo, CA",Actively Hiring,2024-06-13,6 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
68,Data Scientist,Harmony Public Schools,Greater Houston,Actively Hiring +4 benefits,2024-06-04,2 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
69,Data Scientist,"V-Soft Consulting Group, Inc.","Boston, MA",Actively Hiring,2024-06-12,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
70,Machine Learning Engineer – Data Science,Samsung Electronics America,"New York, NY",Actively Hiring,2024-06-05,2 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
71,Junior Python Developer,Team Remotely Inc,"Wilmington, DE",Not specified,2024-06-18,1 day ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
72,Data Scientist,Reframe,"Atlanta, GA",Actively Hiring +2 benefits,2024-06-11,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
73,Data Scientist,"The ACI Group, Inc.","Halawa, HI",Actively Hiring,2024-06-12,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
74,Data Scientist,Elder Research,"Fort George G. Meade, MD",Be an early applicant,2024-06-14,6 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
75,Junior Data Scientist (Remote),SynergisticIT,"Los Angeles, CA",Be an early applicant,2024-06-11,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
76,Football Data Scientist,Washington Commanders,"Ashburn, VA",Not specified,2024-06-11,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
77,"Decision Scientist, Fraud and Merchant Risk",Afterpay,"San Francisco, CA",Not specified,2024-06-07,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
